12,26,2050,12/26/2050
11,24,2050,11/24/2050
9,5,2050,9/5/2050
7,4,2050,7/4/2050
5,30,2050,5/30/2050
4,8,2050,4/8/2050
2,21,2050,2/21/2050
1,17,2050,1/17/2050
12,24,2049,12/24/2049
11,25,2049,11/25/2049
9,6,2049,9/6/2049
7,5,2049,7/5/2049
5,31,2049,5/31/2049
4,16,2049,4/16/2049
2,15,2049,2/15/2049
1,18,2049,1/18/2049
1,1,2049,1/1/2049
12,25,2048,12/25/2048
11,26,2048,11/26/2048
9,7,2048,9/7/2048
7,3,2048,7/3/2048
5,25,2048,5/25/2048
4,3,2048,4/3/2048
2,17,2048,2/17/2048
1,20,2048,1/20/2048
1,1,2048,1/1/2048
12,25,2047,12/25/2047
11,28,2047,11/28/2047
9,2,2047,9/2/2047
7,4,2047,7/4/2047
5,27,2047,5/27/2047
4,12,2047,4/12/2047
2,18,2047,2/18/2047
1,21,2047,1/21/2047
1,1,2047,1/1/2047
12,25,2046,12/25/2046
11,22,2046,11/22/2046
9,3,2046,9/3/2046
7,4,2046,7/4/2046
5,28,2046,5/28/2046
3,23,2046,3/23/2046
2,19,2046,2/19/2046
1,15,2046,1/15/2046
1,1,2046,1/1/2046
12,25,2045,12/25/2045
11,23,2045,11/23/2045
9,4,2045,9/4/2045
7,4,2045,7/4/2045
5,29,2045,5/29/2045
4,7,2045,4/7/2045
2,20,2045,2/20/2045
1,16,2045,1/16/2045
1,2,2045,1/2/2045
12,26,2044,12/26/2044
11,24,2044,11/24/2044
9,5,2044,9/5/2044
7,4,2044,7/4/2044
5,30,2044,5/30/2044
4,15,2044,4/15/2044
2,15,2044,2/15/2044
1,18,2044,1/18/2044
1,1,2044,1/1/2044
12,25,2043,12/25/2043
11,26,2043,11/26/2043
9,7,2043,9/7/2043
7,3,2043,7/3/2043
5,25,2043,5/25/2043
3,27,2043,3/27/2043
2,16,2043,2/16/2043
1,19,2043,1/19/2043
1,1,2043,1/1/2043
12,25,2042,12/25/2042
11,27,2042,11/27/2042
9,1,2042,9/1/2042
7,4,2042,7/4/2042
5,26,2042,5/26/2042
4,4,2042,4/4/2042
2,17,2042,2/17/2042
1,20,2042,1/20/2042
1,1,2042,1/1/2042
12,25,2041,12/25/2041
11,28,2041,11/28/2041
9,2,2041,9/2/2041
7,4,2041,7/4/2041
5,27,2041,5/27/2041
4,19,2041,4/19/2041
2,18,2041,2/18/2041
1,21,2041,1/21/2041
1,1,2041,1/1/2041
12,25,2040,12/25/2040
11,22,2040,11/22/2040
9,3,2040,9/3/2040
7,4,2040,7/4/2040
5,28,2040,5/28/2040
3,30,2040,3/30/2040
2,20,2040,2/20/2040
1,16,2040,1/16/2040
1,2,2040,1/2/2040
12,26,2039,12/26/2039
11,24,2039,11/24/2039
9,5,2039,9/5/2039
7,4,2039,7/4/2039
5,30,2039,5/30/2039
4,8,2039,4/8/2039
2,21,2039,2/21/2039
1,17,2039,1/17/2039
12,24,2038,12/24/2038
11,25,2038,11/25/2038
9,6,2038,9/6/2038
7,5,2038,7/5/2038
5,31,2038,5/31/2038
4,23,2038,4/23/2038
2,15,2038,2/15/2038
1,18,2038,1/18/2038
1,1,2038,1/1/2038
12,25,2037,12/25/2037
11,26,2037,11/26/2037
9,7,2037,9/7/2037
7,3,2037,7/3/2037
5,25,2037,5/25/2037
4,3,2037,4/3/2037
2,16,2037,2/16/2037
1,19,2037,1/19/2037
1,1,2037,1/1/2037
12,25,2036,12/25/2036
11,27,2036,11/27/2036
9,1,2036,9/1/2036
7,4,2036,7/4/2036
5,26,2036,5/26/2036
4,11,2036,4/11/2036
2,18,2036,2/18/2036
1,21,2036,1/21/2036
1,1,2036,1/1/2036
12,25,2035,12/25/2035
11,22,2035,11/22/2035
9,3,2035,9/3/2035
7,4,2035,7/4/2035
5,28,2035,5/28/2035
3,23,2035,3/23/2035
2,19,2035,2/19/2035
1,15,2035,1/15/2035
